User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
BBCWorld,66,"US boy, 9, killed himself after homophobic bullying, mum says https://t.co/XA45wmoFPb",Mon Aug 27 17:26:13 +0000 2018,-0.8555,0.0,0.0,0.0
BBCWorld,67,Myanmar Rohingya: What will happen next after damning UN report? https://t.co/6vPlFNWw5b,Mon Aug 27 16:51:45 +0000 2018,-0.34,0.0,0.0,0.0
BBCWorld,68,Tuam babies: Church must address 'shameful chapter' https://t.co/J9kKJfIyoO,Mon Aug 27 16:48:51 +0000 2018,-0.4939,0.0,0.0,0.0
BBCWorld,69,"RT @bbctennis: Kaia Kanepi has done it! 

A shock result as world number 1 Simona Halep crashes out at the first hurdle 6-2 6-4. 

Live: ht…",Mon Aug 27 16:32:04 +0000 2018,-0.3802,0.05,0.05,0.05
BBCWorld,70,Saad Lamjarred: Moroccan singer faces third rape charge https://t.co/tibNiF1jvD,Mon Aug 27 16:19:07 +0000 2018,-0.6908,0.0,0.0,0.0
BBCWorld,71,"Just when you thought it was safe to go back in the water... 🐬

https://t.co/nBkeOkDi2a",Mon Aug 27 16:07:47 +0000 2018,0.4404,0.182,0.182,0.182
BBCWorld,72,Jos Brech was identified as a suspect after the Netherlands' biggest ever DNA harvesting operation https://t.co/sR3zf8cPh0,Mon Aug 27 15:58:09 +0000 2018,-0.296,0.0,0.0,0.0
BBCWorld,73,John McCain: White House urged to lower flags for senator https://t.co/xzsNZO6awn,Mon Aug 27 15:50:03 +0000 2018,-0.296,0.0,0.0,0.0
BBCWorld,74,RT @BBCBusiness: US-Mexico reach NAFTA breakthrough https://t.co/4pMLFXJHNh,Mon Aug 27 15:42:18 +0000 2018,0.0258,0.155,0.155,0.155
BBCWorld,75,"RT @BBCSteveR: Russian opposition politician Alexei Navalny has been sentenced to 30 days behind bars: on paper, it’s for a street protest…",Mon Aug 27 14:23:54 +0000 2018,-0.0258,0.0,0.0,0.0
BBCWorld,76,Florida shooting: Gaming community reacts https://t.co/pY4vjZnZBe,Mon Aug 27 13:15:21 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,77,Uganda's Bobi Wine crisis: Court frees pop star MP https://t.co/rQnCMYa2GF,Mon Aug 27 13:07:11 +0000 2018,-0.4404,0.154,0.154,0.154
BBCWorld,78,Back to the (really) old school https://t.co/ZXjvclk1hX,Mon Aug 27 12:35:37 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,79,Why are some Iranians running out of hope? https://t.co/NsxYI5IKhe https://t.co/rCFXfS9u6J,Mon Aug 27 12:15:51 +0000 2018,0.4404,0.244,0.244,0.244
BBCWorld,80,"Chale Wote art festival takes over Ghana's capital, Accra https://t.co/EpNO8pijna",Mon Aug 27 11:52:52 +0000 2018,0.4939,0.262,0.262,0.262
BBCWorld,81,People in Morocco shocked over brutal rape allegations https://t.co/aem9OoaZzy,Mon Aug 27 11:47:14 +0000 2018,-0.9022,0.0,0.0,0.0
BBCWorld,82,"More than 50 years on, the Democratic Party's national convention of 1968 continues to haunt the party and cast a s… https://t.co/NVAVoNFbnF",Mon Aug 27 11:45:31 +0000 2018,0.0,0.111,0.111,0.111
BBCWorld,83,Brest frisky dolphin sparks French swimming ban https://t.co/G3pQeVsqeI,Mon Aug 27 11:20:24 +0000 2018,-0.3818,0.172,0.172,0.172
BBCWorld,84,Iran urges UN court to halt US reimposed nuclear sanctions https://t.co/G3Pn1JL4b7,Mon Aug 27 11:12:12 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,85,Muslim men have been swapping clothes with non-Muslim men as part of a project to fight stereotypes… https://t.co/3Pr4EnSHJ7,Mon Aug 27 10:46:01 +0000 2018,-0.3818,0.0,0.0,0.0
BBCWorld,86,"The UN report is also fiercely critical of Myanmar's de facto leader, Aung San Suu Kyi https://t.co/fiUaGph4ED",Mon Aug 27 10:32:27 +0000 2018,-0.3182,0.0,0.0,0.0
BBCWorld,87,German far-right street mob alarms police in Chemnitz https://t.co/750Z7Nppsd,Mon Aug 27 10:28:37 +0000 2018,-0.2732,0.0,0.0,0.0
BBCWorld,88,Florida shooting: Video gamers killed by rival at tournament https://t.co/SWoWDfalhR,Mon Aug 27 10:03:52 +0000 2018,-0.6705,0.0,0.0,0.0
BBCWorld,89,Thieves replace Paraguay police rifles with toy replicas https://t.co/Xcvahi2DIt,Mon Aug 27 09:50:20 +0000 2018,-0.5106,0.0,0.0,0.0
BBCWorld,90,"RT @BBCSport: ""A deafening silence of 43 minutes, one for each child, worker, student, father or mother who are no longer with us today"".…",Mon Aug 27 09:24:10 +0000 2018,-0.5267,0.0,0.0,0.0
BBCWorld,91,Pope 'moved and shocked' by meetings with abuse victims https://t.co/8qhy7aOnbY,Mon Aug 27 09:20:59 +0000 2018,-0.8316,0.0,0.0,0.0
BBCWorld,92,Witnesses describe the moment a gunman opened fire at a video game tournament in Florida https://t.co/6QO8xL4rxG https://t.co/641SiGPsgI,Mon Aug 27 09:16:34 +0000 2018,-0.34,0.0,0.0,0.0
BBCWorld,93,🚲🚲🚲 https://t.co/vuFW9P7pcS,Mon Aug 27 08:57:39 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,94,Australia: Crocodile swamp search a 'people smuggling' case https://t.co/SbCGKio3C4,Mon Aug 27 07:57:46 +0000 2018,-0.4767,0.0,0.0,0.0
BBCWorld,95,"RT @bbcworldservice: ""I hope he doesn't come in here because, if he does, then I'm going to die"" 
A survivor of the shooting in Jacksonvill…",Mon Aug 27 07:46:48 +0000 2018,0.128,0.178,0.178,0.178
BBCWorld,96,"Myanmar military leaders must face genocide charges, says UN https://t.co/U28aXtAFO9",Mon Aug 27 07:36:42 +0000 2018,-0.2732,0.0,0.0,0.0
